TMDB ID,IMDb ID,Data proiezione,Film,Selezionatore,Tema,Anno,Regista/i,Durata,Paese/i di produzione,Link IMDb,Media voti F,Media voti I,Media voti P,Pubblico
502033,tt5363618,22-Feb-2021,Sound of Metal,Jolly,-,2020,Darius Marder,140,US,https://www.imdb.com/title/tt5363618,,,,
78101,tt0066511,8-Mar-2021,Uomini contro,Roberto,-,1970,Francesco Rosi,101,IT; YU,https://www.imdb.com/title/tt0066511,,,,
530915,tt8579674,22-Mar-2021,1917,Jolly,-,2019,Sam Mendes,119,CA; CN; IN; ES; GB; US,https://www.imdb.com/title/tt8579674,,,,
18727,tt0035979,5-Apr-2021,Il cielo può attendere,Jessica,-,1943,Ernst Lubitsch,112,US,https://www.imdb.com/title/tt0035979,,,,
110415,tt1706620,19-Apr-2021,Snowpiercer,Serena,-,2013,Bong Joon-ho,136,CZ; KR,https://www.imdb.com/title/tt1706620,,,,
245168,tt3077214,3-Mag-2021,Suffragette,Adriana,-,2015,Sarah Gavron,106,GB,https://www.imdb.com/title/tt3077214,,,,
55717,tt0483206,17-Mag-2021,Il vento fa il suo giro,Jolly,-,2006,Giorgio Diritti,110,IT,https://www.imdb.com/title/tt0483206,,,,
300668,tt2798920,31-Mag-2021,Annientamento,Jolly,-,2018,Alex Garland,115,GB; US,https://www.imdb.com/title/tt2798920,,,,
487558,tt7349662,21-Giu-2021,BlacKkKlansman,Jolly,-,2018,Spike Lee,135,US,https://www.imdb.com/title/tt7349662,,,,
440298,tt6543652,31-Mag-2021,Cold War,Jolly,-,2018,Paweł Pawlikowski,84,FR; PL; GB,https://www.imdb.com/title/tt6543652,,,,
491584,tt7282468,4-Ott-2021,Burning - L'amore brucia,Jolly,-,2018,Lee Chang-dong,148,KR,https://www.imdb.com/title/tt7282468,,,,
574434,tt8054608,18-Ott-2021,Dio è donna e si chiama Petrunya,Jolly,-,2019,Teona Strugar Mitevska,100,BE; HR; FR; MK; SI,https://www.imdb.com/title/tt8054608,,,,
103328,tt2076220,1-Nov-2021,Holy Motors,Anna,-,2012,Leos Carax,110,BE; FR; DE,https://www.imdb.com/title/tt2076220,,,,
11156,tt1035736,15-Nov-2021,Coco avant Chanel - L'amore prima del mito,Adriana,-,2009,Anne Fontaine,110,BE; FR,https://www.imdb.com/title/tt1035736,,,,
1887,tt0422720,29-Nov-2021,Marie Antoinette,Serena,-,2006,Sofia Coppola,123,FR; US; JP,https://www.imdb.com/title/tt0422720,,,,
615761,tt11617052,13-Dic-2021,Undine - Un amore per sempre,Jolly,-,2020,Christian Petzold,90,FR; DE,https://www.imdb.com/title/tt11617052,,,,
8321,tt0780536,10-Jan-2022,In Bruges - La coscienza dell'assassino,Jolly,-,2008,Martin McDonagh,107,GB; US,https://www.imdb.com/title/tt0780536,,,,
377273,tt5221584,24-Jan-2022,Aquarius,Jolly,-,2016,Kleber Mendonça Filho,142,BR; FR,https://www.imdb.com/title/tt5221584,,,,
